E_dt,E_e,PR,map,model,p95_dt,p95_e,sim
nan,0.18256125014494423,0.25,genroads,dave2,nan,0.8398625,udacity
nan,0.11100365085932294,0.375,genroads,dave2,nan,0.3510637499999998,udacity
nan,0.16626948642657655,0.25,genroads,dave2,nan,0.9293443749999992,udacity
nan,0.207439337675537,0.375,genroads,dave2,nan,0.9595831249999995,udacity
nan,0.2048569668012744,0.375,genroads,dave2,nan,1.221701874999999,udacity
nan,0.1902793050814832,0.25,genroads,dave2,nan,0.9750112499999997,udacity
nan,0.36181950812065716,0.375,genroads,dave2,nan,1.078186875,udacity
nan,0.3067670030217019,0.375,genroads,dave2,nan,1.3986949999999996,udacity
nan,0.2736019390986677,0.25,genroads,dave2,nan,1.4631931249999997,udacity
nan,0.24326131435081622,0.25,genroads,dave2,nan,1.2848699999999993,udacity
nan,0.227850974702914,0.125,genroads,dave2,nan,1.4716181249999987,udacity
nan,0.1697388503410664,0.125,genroads,dave2,nan,0.8303293749999987,udacity
nan,0.15346986361793397,0.375,genroads,dave2,nan,0.8502074999999988,udacity
nan,0.1989315488240918,0.25,genroads,dave2,nan,0.9720549999999994,udacity
nan,0.13821606666900188,0.375,genroads,dave2,nan,0.6474443749999984,udacity
nan,0.14788959398106688,0.25,genroads,dave2,nan,0.6551681249999992,udacity
nan,0.18235759822275485,0.375,genroads,dave2,nan,1.123155624999999,udacity
nan,0.13581621910278732,0.375,genroads,dave2,nan,0.6211262499999994,udacity
nan,0.1267812518407309,0.375,genroads,dave2,nan,0.5081487499999988,udacity
nan,0.13136630304785404,0.375,genroads,dave2,nan,0.5685087499999996,udacity
nan,0.17815237826961888,0.375,genroads,dave2,nan,0.9975774999999991,udacity
nan,0.14993250779122627,0.5,genroads,dave2,nan,0.8410468749999996,udacity
nan,0.14840166370559738,0.375,genroads,dave2,nan,0.7686218749999996,udacity
nan,0.08185497815446967,0.75,genroads,dave2,nan,0.34432437499999946,udacity
nan,0.20921321125403686,0.5,genroads,dave2,nan,0.827141874999999,udacity
nan,0.26344144214633464,0.25,genroads,dave2,nan,1.0800912499999997,udacity
nan,0.13949140041190936,0.5,genroads,dave2,nan,0.5817006249999992,udacity
nan,0.14548546498495957,0.625,genroads,dave2,nan,0.7605674999999991,udacity
nan,0.15939566264494032,0.5,genroads,dave2,nan,0.76004625,udacity
nan,0.1615779659959141,0.375,genroads,dave2,nan,0.8835912499999989,udacity
nan,0.28758749014696283,0.375,genroads,dave2,nan,1.1386612499999997,udacity
nan,0.28123329478937187,0.5,genroads,dave2,nan,1.144151875,udacity
nan,0.21949339729533993,0.375,genroads,dave2,nan,1.0309318749999998,udacity
nan,0.17602839428799344,0.375,genroads,dave2,nan,0.9686062499999983,udacity
nan,0.15684517202926218,0.5,genroads,dave2,nan,0.9175681249999995,udacity
nan,0.1871234832640919,0.375,genroads,dave2,nan,1.0157149999999993,udacity
nan,0.336221144574857,0.25,genroads,dave2,nan,1.3287206249999999,udacity
nan,0.2105120641344033,0.5,genroads,dave2,nan,1.1072381249999994,udacity
nan,0.24362913679229342,0.5,genroads,dave2,nan,1.7630631249999993,udacity
nan,0.19324477660153255,0.5,genroads,dave2,nan,1.2245081249999996,udacity
nan,0.18962239345444554,0.125,genroads,dave2,nan,1.1633056249999996,udacity
nan,0.16717955772579574,0.125,genroads,dave2,nan,0.8218431249999987,udacity
nan,0.18659307658770752,0.375,genroads,dave2,nan,0.969692499999999,udacity
nan,0.15016050012004334,0.375,genroads,dave2,nan,0.798006875,udacity
