angle_abs_mean,angle_abs_mean_pre,angle_abs_p95,angle_abs_p95_pre,entry_id,entry_index,episode_folder,fail_stop_idx,is_success,map,model,num_segments,perturbation,pid_dev_mean,pid_dev_mean_pre,pid_dev_p95,pid_dev_p95_pre,pid_mae_steer,pid_mae_steer_pre,pid_mae_throttle,pid_mae_throttle_pre,pid_n,pid_n_pre,road,run_id,run_ts,severity,sim,task_id,test_type,timeout,track_error_name,xte_abs_mean,xte_abs_mean_pre,xte_abs_p95,xte_abs_p95_pre
20.429294637931037,10.315436767676767,47.16532,18.494957499999998,0001_00,0,0001,396,0,jungle,dave2_gru,7,baseline,0.934526645982289,0.9849883071062538,1.1357320211815563,1.0337017477712576,0.18999516311602757,0.12131211605647484,0.9012082268171776,0.9754276723845514,870.0,396.0,jungle,dave2_gru_20251220_113323,2025-12-20T11:33:23,0,udacity,segment_01_steep_uphill,robustness,0,xte,0.9619553743451885,0.28560914541983334,3.554849449999997,0.891190075
18.527884815555552,18.527884815555552,51.74549199999999,51.74549199999999,0001_01,1,0001,900,1,jungle,dave2_gru,7,baseline,0.9411950302321526,0.9411950302321526,1.0327868127024555,1.0327868127024555,0.15459696660642328,0.15459696660642328,0.9203400749988052,0.9203400749988052,900.0,900.0,jungle,dave2_gru_20251220_113323,2025-12-20T11:33:23,0,udacity,segment_02_long_uphill,robustness,0,xte,1.0960001930414778,1.0960001930414778,4.19622755,4.19622755
13.545608406804734,11.90363773964497,31.44926,40.406954499999976,0001_02,2,0001,338,0,jungle,dave2_gru,7,baseline,0.9534788055331245,0.9469925246077964,1.017018576567044,1.0155831452527233,0.203187954847406,0.22322970090003766,0.9194247219921869,0.9047015471788156,676.0,338.0,jungle,dave2_gru_20251220_113323,2025-12-20T11:33:23,0,udacity,segment_03_very_tight_corner,robustness,0,xte,0.5648200851445265,0.3176814147446746,1.6812185,1.6798690999999997
16.579283804804806,8.621151564417177,48.21231999999996,37.489302000000016,0001_03,3,0001,163,0,jungle,dave2_gru,7,baseline,0.7242517520645969,0.8584608978198062,0.998860948641808,0.944339340486891,0.12078098418238603,0.0731411438196939,0.6785126801953067,0.8251819038550325,333.0,163.0,jungle,dave2_gru_20251220_113323,2025-12-20T11:33:23,0,udacity,segment_04_steep_downhill,robustness,0,xte,0.5152668447648647,0.15428815807300614,2.2381246,0.9311961000000009
22.88460667204301,20.995897778393353,59.31855,58.38801,0001_04,4,0001,361,0,jungle,dave2_gru,7,baseline,0.8474857581732953,0.8705283793697279,0.9841393242632208,0.9824108570434422,0.172623149868706,0.15853477792445744,0.7876412528062955,0.8229566070687775,558.0,361.0,jungle,dave2_gru_20251220_113323,2025-12-20T11:33:23,0,udacity,segment_06_tight_corner_suicide,robustness,0,xte,0.6583524784482079,0.6723584627146815,2.82773665,2.833526
19.767437058823525,19.767437058823525,42.67271,42.67271,0001_05,5,0001,901,1,jungle,dave2_gru,7,baseline,0.9388871646673143,0.9388871646673143,1.0699137910159966,1.0699137910159966,0.16818468215814125,0.16818468215814125,0.9181626407101143,0.9181626407101143,901.0,901.0,jungle,dave2_gru_20251220_113323,2025-12-20T11:33:23,0,udacity,segment_07_cross_bridge,robustness,0,xte,1.571816318505342,1.571816318505342,4.195148,4.195148
12.64918598161838,12.98822905891892,37.05301,38.00832,0001_06,6,0001,740,0,jungle,dave2_gru,7,baseline,1.0014710497892967,1.0138427253551667,1.0309643582831827,1.062901967962865,0.19536558252355635,0.22364545088930607,0.972733004603881,0.978521026508266,1001.0,740.0,jungle,dave2_gru_20251220_113323,2025-12-20T11:33:23,0,udacity,segment_08_slow_uphill_twists,robustness,0,xte,0.3809719774143357,0.34966973939560814,1.566139,1.8011965999999984
20.648177873192438,10.040124906565655,46.767429,18.3767075,0002_00,0,0002,396,0,jungle,dave2_gru,7,dynamic_rain_filter,0.9491395223512515,0.9849896087733934,1.123190039551577,1.028963428922993,0.19579232143787878,0.12100512683604761,0.9136643950552595,0.9756294159635236,899.0,396.0,jungle,dave2_gru_20251220_113323,2025-12-20T11:33:23,2,udacity,segment_01_steep_uphill,robustness,0,xte,0.8861476128419242,0.25897672980310604,4.191884399999998,0.853972475
18.425336996670364,18.425336996670364,50.7302,50.7302,0002_01,1,0002,901,1,jungle,dave2_gru,7,dynamic_rain_filter,0.9419815157280367,0.9419815157280367,1.030651329817319,1.030651329817319,0.15198935058650084,0.15198935058650084,0.9216389467741531,0.9216389467741531,901.0,901.0,jungle,dave2_gru_20251220_113323,2025-12-20T11:33:23,2,udacity,segment_02_long_uphill,robustness,0,xte,1.093572653306859,1.093572653306859,4.245928,4.245928
13.719716092511016,12.399264126099705,32.33172,38.76,0002_02,2,0002,341,0,jungle,dave2_gru,7,dynamic_rain_filter,0.9543081879173472,0.9503161681719293,1.0201199627217754,1.0205632657797261,0.19894015378362537,0.2219515713808494,0.9215394489993057,0.9087553404540675,681.0,341.0,jungle,dave2_gru_20251220_113323,2025-12-20T11:33:23,2,udacity,segment_03_very_tight_corner,robustness,0,xte,0.5812912078757708,0.3296827089278593,1.793093,1.876204
