angle_abs_mean_mean,angle_abs_mean_pre_mean,angle_abs_p95_mean,angle_abs_p95_pre_mean,map,mean_segments_passed_per_run,mean_segments_passed_rate_per_run,model,n_entries,n_runs,perturbation,pid_dev_mean_mean,pid_dev_mean_pre_mean,pid_dev_p95_mean,pid_dev_p95_pre_mean,pid_mae_steer_mean,pid_mae_steer_pre_mean,pid_mae_throttle_mean,pid_mae_throttle_pre_mean,primary_metric,segment_pass_rate_micro,severity,sim,test_type,xte_abs_mean_mean,xte_abs_mean_pre_mean,xte_abs_p95_mean,xte_abs_p95_pre_mean
18.057073169027174,18.770238699312483,35.235330785714275,38.06565728571428,jungle,6.0,0.8571428571428571,dave2,7,1,baseline,0.8194688923154472,0.8171992192672695,0.9739294751107357,0.9741308275220506,0.11107050189800417,0.11909016548109654,0.8018490442088095,0.7971904456182476,mean_segments_passed_rate_per_run,0.8571428571428571,0,udacity,robustness,0.6123059974393614,0.651895982542583,1.6502654071428569,1.7030072285714284
11.365070572538079,11.036553480647575,24.003111571428565,23.18585607142856,jungle,2.0,0.2857142857142857,dave2,7,1,canny_edges_mapping,1.0024520627302436,1.0022386447894642,1.0785824778330138,1.0656383145461574,0.09699493591316445,0.08949872121031355,0.9884102477108653,0.9907531455906493,mean_segments_passed_rate_per_run,0.2857142857142857,2,udacity,robustness,0.28990257619087917,0.27822205513409054,1.615421803642857,1.5594074114999976
11.723038048745272,11.688530891816155,27.093529642857128,27.009974785714284,jungle,3.0,0.42857142857142855,dave2,7,1,canny_edges_mapping,0.997084168528951,0.995614897388405,1.095424594515433,1.087467956289991,0.10253018269488291,0.09632457843474965,0.9829723971947338,0.9831534066814452,mean_segments_passed_rate_per_run,0.42857142857142855,4,udacity,robustness,0.3132626922560628,0.2756450023411837,1.7576926728571425,1.486844305714285
16.810401552509653,17.688410329251184,36.05673385714284,37.74484078571429,jungle,6.0,0.8571428571428571,dave2,7,1,contrast,0.809677312627903,0.8198282273045673,1.0502814271554255,1.0491390227599149,0.1440051235228967,0.15154459192593062,0.781008458727703,0.7903114372171862,mean_segments_passed_rate_per_run,0.8571428571428571,2,udacity,robustness,0.6274419286595588,0.6682366613940722,1.9764489285714286,1.9877610785714286
15.772027830733595,16.655400750368766,35.09528828571428,38.60132649999999,jungle,4.0,0.5714285714285714,dave2,7,1,contrast,0.8749703166369873,0.8630785136650726,1.0829953721666585,1.0568368254521854,0.16322779001687962,0.17895022955343157,0.8465114943262666,0.8282683397170322,mean_segments_passed_rate_per_run,0.5714285714285714,4,udacity,robustness,0.6163733925834058,0.6425274452103037,2.2519655785714265,2.247820299999998
18.651347148872393,20.003990666634824,36.43968771428571,42.82776778571428,jungle,4.0,0.5714285714285714,dave2,7,1,cutout_filter,0.816559019547846,0.8322620785453962,1.0460039472061824,1.0517057567498405,0.15353723998776367,0.167744769814186,0.7881554273617326,0.7996492503459901,mean_segments_passed_rate_per_run,0.5714285714285714,2,udacity,robustness,0.7500495849049983,0.7831860624545272,2.2504572764285706,2.180012190714285
19.74974553978407,26.303227058205955,47.85299585714285,61.9970022142857,jungle,1.0,0.14285714285714285,dave2,7,1,cutout_filter,0.8367377907497897,0.9008731356808573,1.1171473189497705,1.1727990655790623,0.20525886480005665,0.2659888678739649,0.7804886752223484,0.8218067590641372,mean_segments_passed_rate_per_run,0.14285714285714285,4,udacity,robustness,0.9833354385333922,1.0607689802778235,3.8251232357142855,3.121470864285713
18.535677774186244,19.87064919357137,37.544791857142854,41.15970457142857,jungle,4.0,0.5714285714285714,dave2,7,1,defocus_blur,0.8929955470798189,0.8600550372033391,1.0406944609840276,1.0437384860298378,0.13114821045154837,0.14199325425585482,0.8727852716352869,0.8357066263853561,mean_segments_passed_rate_per_run,0.5714285714285714,2,udacity,robustness,0.7237183436406396,0.8041912371915055,2.3718376435714283,2.4778222864285717
18.93786434847575,18.612191142124058,44.416392214285715,44.15719549999998,jungle,1.0,0.14285714285714285,dave2,7,1,defocus_blur,0.9530274317162739,0.9601759211814935,1.0854449061489138,1.0665869465277982,0.1602920994514613,0.1824677721965363,0.9249514461526516,0.9252766434585296,mean_segments_passed_rate_per_run,0.14285714285714285,4,udacity,robustness,0.858582836809395,0.7946282831283661,3.8807098499999997,2.8620790799999987
22.66243852613093,22.57191320171596,58.08047157142857,61.03375678571428,jungle,4.0,0.5714285714285714,dave2,7,1,dotted_lines_mapping,0.8205500823904177,0.8452256506461903,1.0822496012361664,1.0957219015785393,0.1518649699315075,0.1574486885426448,0.7864320810873882,0.8104944595658577,mean_segments_passed_rate_per_run,0.5714285714285714,2,udacity,robustness,0.7608410197794624,0.8231455092053184,2.735872649999998,2.907573257142855
18.59780030600612,16.936392536706357,41.978951,37.81313749999999,jungle,3.0,0.42857142857142855,dave2,7,1,dotted_lines_mapping,0.8413509288531997,0.8539535362429763,1.055724106369299,1.0544135154938448,0.14393890121157296,0.1478728594719209,0.8146449900472607,0.8278567928838555,mean_segments_passed_rate_per_run,0.42857142857142855,4,udacity,robustness,0.7393317412072878,0.6995163466192765,2.3194169071428568,2.1384005357142857
18.53008356830011,18.654112188153118,40.48686678571427,46.48135285714285,jungle,2.0,0.2857142857142857,dave2,7,1,dynamic_lightning_filter,0.8833368513786037,0.8734493220784121,1.0605305210561389,1.0550757630277385,0.15137114349386344,0.18055192550937393,0.853381226710398,0.8314330774401342,mean_segments_passed_rate_per_run,0.2857142857142857,2,udacity,robustness,0.8784716989981015,0.9302519337236469,3.389484692857141,2.5160888985714265
