dt_mean,dt_p95,e_mean,e_p95,map,model,n_conditions,pr,severity,sim,test_type
0.8171992192672695,0.9741308275220506,0.651895982542583,1.7030072285714284,jungle,dave2,1,0.8571428571428571,0,udacity,robustness
0.8639421211422111,1.0500567979410511,0.7815281937722378,2.3686219320289568,jungle,dave2,37,0.5482625482625483,2,udacity,robustness
0.9068296788331796,1.1115803527871284,0.8327152338951723,2.6131536191034743,jungle,dave2,37,0.38610038610038605,4,udacity,robustness
