br,ds,ds_nb,map,model,n_conditions,n_nb,severity,sim,test_type
0.0,77.9870812840703,77.9870812840703,multi-town,tcp,1,6.0,0,carla,robustness
0.06306306306306306,60.91148430313268,61.4367599557711,multi-town,tcp,37,5.621621621621622,2,carla,robustness
0.13063063063063063,43.52756076921711,45.1074938055909,multi-town,tcp,37,5.216216216216216,4,carla,robustness
