angle_abs_mean_mean,angle_abs_mean_pre_mean,angle_abs_p95_mean,angle_abs_p95_pre_mean,cte_abs_mean_mean,cte_abs_mean_pre_mean,cte_abs_p95_mean,cte_abs_p95_pre_mean,map,model,n_entries,pass_rate,perturbation,pid_dev_mean_mean,pid_dev_mean_pre_mean,pid_dev_p95_mean,pid_dev_p95_pre_mean,pid_mae_steer_mean,pid_mae_steer_pre_mean,pid_mae_throttle_mean,pid_mae_throttle_pre_mean,primary_metric,severity,sim,test_type,xte_abs_mean_mean,xte_abs_mean_pre_mean,xte_abs_p95_mean,xte_abs_p95_pre_mean
28.76572951388158,28.76572951388158,115.22916499999994,115.22916499999994,0.24890751256102409,0.24890751256102409,1.584339374999999,1.584339374999999,genroads,vit,8,0.5,baseline,nan,nan,nan,nan,nan,nan,nan,nan,pass_rate,0,udacity,generalization,0.24890751256102409,0.24890751256102409,1.584339374999999,1.584339374999999
12.07505283601908,12.07505283601908,91.24050062499998,91.24050062499998,0.09992334651922173,0.09992334651922173,0.5767156249999985,0.5767156249999985,genroads,vit,8,0.625,btap01,nan,nan,nan,nan,nan,nan,nan,nan,pass_rate,1,udacity,generalization,0.09992334651922173,0.09992334651922173,0.5767156249999985,0.5767156249999985
26.313530061413836,26.313530061413836,116.618539375,116.618539375,0.20498373067964493,0.20498373067964493,1.54594875,1.54594875,genroads,vit,8,0.625,btap02,nan,nan,nan,nan,nan,nan,nan,nan,pass_rate,1,udacity,generalization,0.20498373067964493,0.20498373067964493,1.54594875,1.54594875
28.35479171929097,28.35479171929097,119.14730312499998,119.14730312499998,0.18821860448486696,0.18821860448486696,1.1472212499999999,1.1472212499999999,genroads,vit,8,0.625,btap03,nan,nan,nan,nan,nan,nan,nan,nan,pass_rate,1,udacity,generalization,0.18821860448486696,0.18821860448486696,1.1472212499999999,1.1472212499999999
30.61931370524337,30.61931370524337,120.92133875,120.92133875,0.29545775331726143,0.29545775331726143,1.7542156249999996,1.7542156249999996,genroads,vit,8,0.625,btap04,nan,nan,nan,nan,nan,nan,nan,nan,pass_rate,1,udacity,generalization,0.29545775331726143,0.29545775331726143,1.7542156249999996,1.7542156249999996
29.192967796520403,29.192967796520403,123.55534874999995,123.55534874999995,0.20467859131423263,0.20467859131423263,1.4469824999999996,1.4469824999999996,genroads,vit,8,0.625,btap05,nan,nan,nan,nan,nan,nan,nan,nan,pass_rate,1,udacity,generalization,0.20467859131423263,0.20467859131423263,1.4469824999999996,1.4469824999999996
49.276523749672826,49.276523749672826,122.453118125,122.453118125,0.4150083800290846,0.4150083800290846,1.6737843749999999,1.6737843749999999,genroads,vit,8,0.5,sbias01,nan,nan,nan,nan,nan,nan,nan,nan,pass_rate,1,udacity,generalization,0.4150083800290846,0.4150083800290846,1.6737843749999999,1.6737843749999999
40.09807975210618,40.09807975210618,120.73604249999997,120.73604249999997,0.3554265891467188,0.3554265891467188,1.5043962499999997,1.5043962499999997,genroads,vit,8,0.5,sbias02,nan,nan,nan,nan,nan,nan,nan,nan,pass_rate,1,udacity,generalization,0.3554265891467188,0.3554265891467188,1.5043962499999997,1.5043962499999997
34.35285674068703,34.35285674068703,114.34520124999997,114.34520124999997,0.30886939565771176,0.30886939565771176,1.5818006249999996,1.5818006249999996,genroads,vit,8,0.5,sbias03,nan,nan,nan,nan,nan,nan,nan,nan,pass_rate,1,udacity,generalization,0.30886939565771176,0.30886939565771176,1.5818006249999996,1.5818006249999996
30.307638803244938,30.307638803244938,110.18312499999999,110.18312499999999,0.34160012315109256,0.34160012315109256,1.8005449999999996,1.8005449999999996,genroads,vit,8,0.25,sbias04,nan,nan,nan,nan,nan,nan,nan,nan,pass_rate,1,udacity,generalization,0.34160012315109256,0.34160012315109256,1.8005449999999996,1.8005449999999996
29.03319468409945,29.03319468409945,123.36901,123.36901,0.2471616317813476,0.2471616317813476,1.5218356249999996,1.5218356249999996,genroads,vit,8,0.25,sbias05,nan,nan,nan,nan,nan,nan,nan,nan,pass_rate,1,udacity,generalization,0.2471616317813476,0.2471616317813476,1.5218356249999996,1.5218356249999996
30.382936027491418,30.382936027491418,136.07059999999993,136.07059999999993,0.19719559075715312,0.19719559075715312,1.261890624999999,1.261890624999999,genroads,vit,8,0.375,sbias06,nan,nan,nan,nan,nan,nan,nan,nan,pass_rate,1,udacity,generalization,0.19719559075715312,0.19719559075715312,1.261890624999999,1.261890624999999
29.313022353787666,29.313022353787666,125.46743562499995,125.46743562499995,0.21459090272685954,0.21459090272685954,1.4484181249999988,1.4484181249999988,genroads,vit,8,0.625,sfreeze01,nan,nan,nan,nan,nan,nan,nan,nan,pass_rate,1,udacity,generalization,0.21459090272685954,0.21459090272685954,1.4484181249999988,1.4484181249999988
29.799817236354812,29.799817236354812,133.6197275,133.6197275,0.17729142252273927,0.17729142252273927,1.3352281249999998,1.3352281249999998,genroads,vit,8,0.625,sfreeze02,nan,nan,nan,nan,nan,nan,nan,nan,pass_rate,1,udacity,generalization,0.17729142252273927,0.17729142252273927,1.3352281249999998,1.3352281249999998
27.102880509114335,27.102880509114335,116.39680999999999,116.39680999999999,0.22021717456860698,0.22021717456860698,1.5074156249999997,1.5074156249999997,genroads,vit,8,0.5,sfreeze03,nan,nan,nan,nan,nan,nan,nan,nan,pass_rate,1,udacity,generalization,0.22021717456860698,0.22021717456860698,1.5074156249999997,1.5074156249999997
