epoch,loss,rmse,val_loss,val_rmse
1,0.010861103970899814,0.10421662041584256,0.0011469567199332677,0.03386674947397916
2,0.001758485450858255,0.041934299217445556,0.0007927810401437158,0.02815636766601324
3,0.0012365034256180735,0.0351639506543004,0.0006834700663825877,0.026143260439023052
4,0.0009369397832794177,0.03060947211696761,0.0006052618971027966,0.024602070992150164
5,0.0008394439923331611,0.028973159861036234,0.000530765663324,0.023038352009725
6,0.0007330921947223477,0.0270756753327105,0.0004344010596135061,0.020842290171991802
7,0.0006440711111323501,0.02537855612780897,0.0004648308234636159,0.021559935608985847
8,0.0006623784194468188,0.025736713454651096,0.0006649346590963934,0.025786326979552427
9,0.0005834758349641641,0.024155244460865307,0.0003813518896076486,0.01952823314095898
10,0.0005952301281797616,0.024397338547057987,0.0004075349225990512,0.020187494212978767
11,0.0005496908354083349,0.023445486461328435,0.00042383523856299185,0.020587259131875518
12,0.0005164102994289804,0.022724662801216225,0.0003948421368959873,0.019870635040078292
13,0.0005027162230449099,0.022421334104930284,0.0003257290656471682,0.0180479656927635
14,0.00268240145368413,0.051791905291117935,0.012687562546711795,0.11263908090317408
15,0.002031280838849698,0.04506973306832089,0.0009508131348708531,0.030835257982881434
16,0.0011652789174717943,0.034136181940454244,0.001215030778940691,0.03485729161797702
17,0.0009542248294997606,0.030890529770461375,0.00044017938237128856,0.020980452387193385
18,0.0009605607748388344,0.03099291491355459,0.0008677785149395314,0.02945808063909683
19,0.0010253579530399293,0.03202121098646847,0.00052183907958964,0.022843797398629677
20,0.0010410172929586291,0.03226479959582314,0.00047245280602139096,0.021735979527534317
21,0.0006707484212465785,0.0258988111936934,0.0003733787769083485,0.019323011590027795
22,0.0006333337688984967,0.02516612343803663,0.0004495061341226481,0.021201559709668725
23,0.0008793256780794633,0.029653426076584527,0.002789990334980646,0.052820359095529124
24,0.0008026210082890011,0.02833056667786582,0.0004428437217827696,0.021043852351287053
25,0.000618322560959316,0.024866092595325788,0.0005383991876293962,0.023203430514245005
26,0.0006461905161095999,0.025420277656028854,0.0003977869108689911,0.019944596031732282
27,0.0006401799247357133,0.02530177710627681,0.0005252082182964006,0.02291742172008886
28,0.0005330550245692891,0.02308798441980783,0.0003791958131062399,0.019472950806342627
29,0.0005266063295695021,0.02294790468799934,0.0003711896046000647,0.0192662815457489
30,0.0005036003312011007,0.022441041223639796,0.0003690263335129759,0.01921005813403426
31,0.0007152585855895859,0.026744318753514473,0.0005827057861357129,0.02413929961982561
32,0.0006597083595229413,0.025684788485073055,0.0004318254442685949,0.020780410108286962
33,0.0008080822331405898,0.028426787246197727,0.0004126546570047622,0.020313903047045445
