epoch,loss,lr,mse,val_loss,val_mse
0,0.08715290576219559,1e-04,0.07861153781414032,0.13090577721595764,0.1040182113647461
1,0.07366311550140381,1e-04,0.06622567027807236,0.08521333336830139,0.06978992372751236
2,0.05388740822672844,1e-04,0.05198323726654053,0.0425589457154274,0.0376715250313282
3,0.0416833758354187,1e-04,0.041747067123651505,0.03723200783133507,0.03299307823181152
4,0.03634482994675636,1e-04,0.038219042122364044,0.03509131073951721,0.03203686326742172
5,0.030672801658511162,1e-04,0.03198350593447685,0.03504344820976257,0.03272895887494087
6,0.02891562692821026,1e-04,0.02992146648466587,0.0338301919400692,0.03178586810827255
7,0.026638321578502655,1e-04,0.027846844866871834,0.03103737160563469,0.029685908928513527
8,0.025603681802749634,1e-04,0.026738373562693596,0.02980669215321541,0.0288068987429142
9,0.023907767608761787,1e-04,0.02530425228178501,0.02985619381070137,0.029340054839849472
10,0.022983858361840248,1e-04,0.023946331813931465,0.03125900775194168,0.031152192503213882
11,0.02151133306324482,1e-04,0.022810280323028564,0.032676659524440765,0.03314116224646568
12,0.0214226134121418,1e-04,0.022815734148025513,0.03303072974085808,0.03348824009299278
13,0.02029140666127205,1e-04,0.02179695852100849,0.034773726016283035,0.03592095151543617
14,0.019438425078988075,1e-04,0.020505987107753754,0.03715340420603752,0.03872731328010559
15,0.01856703869998455,1e-04,0.019662436097860336,0.038076069205999374,0.038482338190078735
16,0.01887521520256996,1e-04,0.02034069411456585,0.04004065319895744,0.03839462623000145
17,0.018962785601615906,1e-04,0.01987209916114807,0.037337858229875565,0.03836431726813316
18,0.017897004261612892,1e-04,0.019241666421294212,0.03688695281744003,0.03701821714639664
19,0.01670050621032715,1e-04,0.017389366403222084,0.036252956837415695,0.037375111132860184
20,0.015467925928533077,1e-04,0.016322264447808266,0.03928844630718231,0.04001931846141815
21,0.01466177124530077,1e-04,0.015541319735348225,0.03983635455369949,0.039734262973070145
22,0.016484757885336876,1e-04,0.017053384333848953,0.04981484264135361,0.04746260121464729
23,0.015854302793741226,1e-04,0.016323626041412354,0.03864086791872978,0.038169845938682556
24,0.014978645369410515,1e-04,0.01617240719497204,0.03757544606924057,0.03883472457528114
25,0.013506949879229069,1e-04,0.014575539156794548,0.038569845259189606,0.03873247653245926
26,0.012454552575945854,1e-04,0.01342907827347517,0.04435453563928604,0.04278342053294182
27,0.01289768610149622,1e-04,0.013388892635703087,0.04229309409856796,0.04242885485291481
28,0.011556027457118034,1e-04,0.012109610252082348,0.03938784450292587,0.038561880588531494
