E_dt,E_e,PR,map,model,p95_dt,p95_e,perturbation,severity,sim
0.8618506199817553,0.6218950016955436,0.2857142857142857,jungle,vit,1.0455810640119634,1.96783088,canny_edges_mapping,2,udacity
0.8413425767093055,0.7056625391191791,0.2857142857142857,jungle,vit,1.0341143653093703,2.626004964285713,canny_edges_mapping,4,udacity
0.7833511969887285,0.943660871004506,0.2857142857142857,jungle,vit,0.980691171947189,2.820645021428571,contrast,2,udacity
0.8200507086461669,0.8998587360027981,0.14285714285714285,jungle,vit,0.9894631582213763,2.361160728571428,contrast,4,udacity
0.9203637380786917,1.1367055973602687,0.14285714285714285,jungle,vit,1.1688811682999967,3.615619042857142,cutout_filter,2,udacity
0.9484483060941568,1.0801547562163658,0.14285714285714285,jungle,vit,1.21409623441083,3.6993663214285717,cutout_filter,4,udacity
0.8104192753575028,0.8814814915849963,0.5714285714285714,jungle,vit,1.0794798870015014,2.6281693928571426,defocus_blur,2,udacity
0.8252982363307543,0.8705991791200001,0.2857142857142857,jungle,vit,1.0505390958250473,2.6054810214285706,defocus_blur,4,udacity
0.8141052865110032,0.9612012283889707,0.2857142857142857,jungle,vit,1.0018065090901167,2.69614005,dotted_lines_mapping,2,udacity
0.8139576953627802,0.7845334383176363,0.2857142857142857,jungle,vit,1.044505120293032,2.3579481642857134,dotted_lines_mapping,4,udacity
0.8878146008878579,0.9653310853532461,0.2857142857142857,jungle,vit,1.0519029130186863,2.624088607142856,dynamic_lightning_filter,2,udacity
0.8126989930491255,0.6989430684229693,0.2857142857142857,jungle,vit,1.0012637129122288,2.5614038199999998,dynamic_lightning_filter,4,udacity
0.8028638654020855,1.1419786734918211,0.2857142857142857,jungle,vit,1.0211496616737228,3.167805285714285,dynamic_object_overlay,2,udacity
0.8332003091610826,0.9135587777488968,0.5714285714285714,jungle,vit,1.0680265246936214,2.7050536928571427,dynamic_object_overlay,4,udacity
0.8219217028734904,1.0146510827934774,0.5714285714285714,jungle,vit,1.0856346655753035,3.1596624928571417,dynamic_rain_filter,2,udacity
0.8420290221130606,0.9168774352781858,0.5714285714285714,jungle,vit,1.0796904365395876,2.7357394214285695,dynamic_rain_filter,4,udacity
0.8404867824661716,0.857348589986881,0.5714285714285714,jungle,vit,1.1151821706725351,2.8818161071428547,dynamic_smoke_filter,2,udacity
0.8835552278867412,1.0435102181527813,0.42857142857142855,jungle,vit,1.1121113546870633,2.9824690142857135,dynamic_smoke_filter,4,udacity
0.8915747672691332,0.9577832425613343,0.2857142857142857,jungle,vit,1.1126834345931136,2.9284169428571425,dynamic_snow_filter,2,udacity
0.9404661385046789,0.7339170510262262,0.14285714285714285,jungle,vit,1.0666335164234402,2.1488120357142853,dynamic_snow_filter,4,udacity
0.7101354718488402,1.226098205264153,0.0,jungle,vit,1.0011725958868094,3.302292657142857,dynamic_sun_filter,2,udacity
0.6399463367531808,1.05415727793613,0.0,jungle,vit,0.9976180704107842,3.276907049999999,dynamic_sun_filter,4,udacity
