epoch,loss,lr,mse,val_loss,val_mse
0,0.039178267121315,1e-04,0.02843773365020752,0.00454650679603219,0.004713408183306456
1,0.03768530488014221,1e-04,0.027446676045656204,0.00435955123975873,0.004436410963535309
2,0.0376468300819397,1e-04,0.027407953515648842,0.0033987138886004686,0.002756308764219284
3,0.036950040608644485,1e-04,0.026511207222938538,0.0033858339302241802,0.002494863932952285
4,0.03658193349838257,1e-04,0.026205597445368767,0.0030390697065740824,0.00220501353032887
5,0.03639102727174759,1e-04,0.026023197919130325,0.003002851502969861,0.002161286771297455
6,0.03636540472507477,1e-04,0.025994258001446724,0.002998056123033166,0.0021538962610065937
7,0.03625943139195442,1e-04,0.02592039853334427,0.0029906295239925385,0.002148090861737728
8,0.036676157265901566,1e-04,0.026247983798384666,0.003032238921150565,0.0021897461265325546
9,0.03634459152817726,1e-04,0.025979971513152122,0.0027748486027121544,0.0019952738657593727
10,0.01409098319709301,1e-04,0.010493217967450619,0.0034107964020222425,0.0025326090399175882
11,0.037439487874507904,1e-04,0.026779595762491226,0.0029672824312001467,0.0021321852691471577
12,0.026300251483917236,1e-04,0.018966931849718094,0.0030771801248192787,0.0022842385806143284
13,0.008919848129153252,1e-04,0.0065893810242414474,0.00217239186167717,0.0016289764316752553
14,0.007776082027703524,1e-04,0.005820166785269976,0.0005155068938620389,0.0005359827191568911
15,0.003123972797766328,1e-04,0.00237523065879941,0.00040696817450225353,0.00034834977122955024
16,0.0016461240593343973,1e-04,0.0012380903353914618,0.0001629854377824813,0.00014698471932206303
17,0.0011006975546479225,1e-04,0.000830315810162574,0.00011909390013897792,0.0001158336381195113
18,0.0008954558870755136,1e-04,0.0006783274584449828,0.0001240130077349022,0.00011824299144791439
19,0.0007531398441642523,1e-04,0.0005736800376325846,0.00011781913781305775,0.00010952769662253559
20,0.0005648488877341151,1e-04,0.00043540942715480924,8.743386570131406e-05,8.257439185399562e-05
21,0.0004989219596609473,1e-04,0.00038558870437555015,0.0001245890452992171,0.0001147528673755005
22,0.0004907805705443025,1e-04,0.00037986368988640606,9.015781688503921e-05,8.345566311618313e-05
23,0.0004638428217731416,1e-04,0.0003598389739636332,0.00010307125194231048,9.269580186810344e-05
24,0.000586249865591526,1e-04,0.00044801528565585613,8.961980347521603e-05,8.075847290456295e-05
25,0.0007273374940268695,1e-04,0.0005535567179322243,0.0001558831863803789,0.00013479054905474186
26,0.0005271125119179487,1e-04,0.0004066543187946081,7.713829108979553e-05,6.959102756809443e-05
27,0.000728052225895226,5e-05,0.0005478433449752629,0.0001724332250887528,0.00014314262080006301
28,0.0005614187102764845,5e-05,0.00043096940498799086,8.257731678895652e-05,7.438079046551138e-05
29,0.0005454061320051551,5e-05,0.00041771409451030195,9.310260065831244e-05,8.20613422547467e-05
30,0.0005476202350109816,5e-05,0.00041879218770191073,9.005621541291475e-05,7.88733595982194e-05
31,0.0005223264452069998,5e-05,0.0004001372726634145,8.016280480660498e-05,7.058857590891421e-05
32,0.0004860405169893056,5e-05,0.00037388905184343457,6.773632048862055e-05,6.14574018982239e-05
33,0.00042105623288080096,5e-05,0.0003256890631746501,7.173034828156233e-05,6.39589416095987e-05
34,0.00039281626231968403,5e-05,0.0003056072455365211,6.241008668439463e-05,5.6741333537502214e-05
35,0.00035675911931321025,5e-05,0.00027989211957901716,6.926342030055821e-05,6.15272656432353e-05
36,0.0003873049863614142,5e-05,0.00030151763348840177,6.52271046419628e-05,5.831627277075313e-05
37,0.00034858655999414623,5e-05,0.00027344166301190853,6.30538270343095e-05,5.662727926392108e-05
38,0.0003273015026934445,5e-05,0.0002583384048193693,6.410625064745545e-05,5.742753273807466e-05
39,0.00031470635440200567,5e-05,0.0002486420562490821,6.436339026549831e-05,5.7555720559321344e-05
40,0.0003005060716532171,5e-05,0.00023775192676112056,6.270969606703147e-05,5.620866431854665e-05
41,0.00027174007846042514,5e-05,0.00021697096235584468,5.6722681620158255e-05,5.174486796022393e-05
42,0.00026073219487443566,5e-05,0.00020851318549830467,6.405541353160515e-05,5.6818062148522586e-05
43,0.0002567528863437474,5e-05,0.00020587941980920732,8.046479342738166e-05,6.883160676807165e-05
44,0.00025390679365955293,5e-05,0.0002032450574915856,8.237655129050836e-05,7.088336133165285e-05
45,0.0002877480583265424,2.5e-05,0.00022778780839871615,4.871355849900283e-05,4.625377187039703e-05
46,0.0003531022521201521,2.5e-05,0.0002750600688159466,4.849471224588342e-05,4.566978896036744e-05
47,0.00032402522629126906,2.5e-05,0.0002540089190006256,5.0585738790687174e-05,4.722304583992809e-05
48,0.0002973834634758532,2.5e-05,0.00023446972772944719,4.969252768205479e-05,4.653767609852366e-05
49,0.0003040546434931457,2.5e-05,0.0002394225011812523,5.110109123052098e-05,4.764008190250024e-05
50,0.0002916021621786058,2.5e-05,0.00022959415218792856,5.131061698193662e-05,4.771078602061607e-05
51,0.000246961135417223,2.5e-05,0.00019741313008125871,5.039834650233388e-05,4.702497972175479e-05
52,0.000245100527536124,2.5e-05,0.00019653096387628466,4.986967542208731e-05,4.6463879698421806e-05
53,0.00023762373893987387,2.5e-05,0.00019062720821239054,4.896955215372145e-05,4.5953500375617296e-05
54,0.00024752915487624705,2.5e-05,0.0001978046348085627,5.5181033530971035e-05,5.0355021812720224e-05
55,0.00022245885338634253,1.25e-05,0.00018004744197241962,4.8098256229422987e-05,4.53569991805125e-05
56,0.00021342767286114395,1.25e-05,0.00017303985077887774,4.6467608626699075e-05,4.405860454426147e-05
57,0.00021211081184446812,1.25e-05,0.00017235511040780693,4.5815202611265704e-05,4.3436812120489776e-05
58,0.0002120080462191254,1.25e-05,0.00017186225159093738,4.657202589442022e-05,4.39455579908099e-05
59,0.00020052272884640843,1.25e-05,0.00016378844156861305,4.461081698536873e-05,4.245801392244175e-05
60,0.000198903406271711,1.25e-05,0.0001624177093617618,4.4274780520936474e-05,4.2175641283392906e-05
61,0.00020203542953822762,1.25e-05,0.0001644939329707995,4.4909109419677407e-05,4.270885619916953e-05
62,0.00019542864174582064,1.25e-05,0.00015978640294633806,4.385431748232804e-05,4.19597708969377e-05
63,0.00019915688608307391,1.25e-05,0.00016275652160402387,4.348048605606891e-05,4.1582552512409166e-05
64,0.00019294490630272776,1.25e-05,0.00015801349945832044,4.360066668596119e-05,4.1625145968282595e-05
65,0.0001932376326294616,6.25e-06,0.0001583445118740201,4.30945074185729e-05,4.1232589865103364e-05
66,0.00019100513600278646,6.25e-06,0.00015637828619219363,4.2920881242025644e-05,4.106915366719477e-05
67,0.00017959940305445343,6.25e-06,0.0001479857601225376,4.261600042809732e-05,4.082780287717469e-05
68,0.00017824168025981635,6.25e-06,0.0001475205790484324,4.250646088621579e-05,4.080735016032122e-05
69,0.00018195361190009862,6.25e-06,0.0001499004429206252,4.2585314076859504e-05,4.0959002944873646e-05
70,0.00018156827718485147,6.25e-06,0.00014943204587325454,4.261539288563654e-05,4.0887502109399065e-05
71,0.00018210383132100105,6.25e-06,0.00015023982268758118,4.317338971304707e-05,4.1378156311111525e-05
72,0.0001768599613569677,6.25e-06,0.00014619473950006068,4.317878483561799e-05,4.135948256589472e-05
73,0.00017973508511204273,6.25e-06,0.0001479786296840757,4.393931885715574e-05,4.217059540678747e-05
74,0.0001785119966370985,6.25e-06,0.0001472399162594229,4.441717828740366e-05,4.262628863216378e-05
