E_dt,E_e,PR,map,model,p95_dt,p95_e,perturbation,severity,sim
0.12842827796811032,0.7408927184466019,0.0,genroads,dave2_gru,0.873684869108409,3.3131,Baseline,0,udacity
0.09053178720672143,0.5487421428571428,0.0,genroads,dave2_gru,0.28492632734469725,1.4478999999999997,canny_edges_mapping,2,udacity
0.025775006987937533,0.22295183486238526,1.0,genroads,dave2_gru,0.0693116425561334,0.543725,canny_edges_mapping,4,udacity
0.17611890314895637,0.9471289099526067,0.0,genroads,dave2_gru,0.8740744811043213,2.9945500000000003,contrast,2,udacity
0.12601300522718736,0.6782522580645161,0.0,genroads,dave2_gru,0.42027333144787016,2.4953399999999997,contrast,4,udacity
0.9305011606692202,0.32493486238532115,0.0,genroads,dave2_gru,1.4094054594240433,2.230319999999999,cutout_filter,2,udacity
0.15147621715425844,0.758260580912863,0.0,genroads,dave2_gru,0.7503347732181446,2.6374,cutout_filter,4,udacity
0.20200130730311636,1.0183200000000001,0.0,genroads,dave2_gru,0.9278606354097529,3.587015,defocus_blur,2,udacity
0.1022160592378932,0.5380927710843374,0.0,genroads,dave2_gru,0.715152569559334,1.84915,defocus_blur,4,udacity
0.13919974933857676,0.6985619047619047,0.0,genroads,dave2_gru,1.0305705134501917,2.42731,dotted_lines_mapping,2,udacity
0.139599289971252,0.7363323741007194,0.0,genroads,dave2_gru,0.7436920120246173,2.5696199999999996,dotted_lines_mapping,4,udacity
0.9064986497054124,0.3449153846153846,0.0,genroads,dave2_gru,1.4534689005545545,2.2032649999999983,dynamic_lightning_filter,2,udacity
0.14177109923925785,0.7310318435754191,0.0,genroads,dave2_gru,0.6232654081899743,2.45684,dynamic_lightning_filter,4,udacity
0.10500097880792528,0.5592496503496505,0.0,genroads,dave2_gru,0.8962278064264535,2.994000000000001,dynamic_object_overlay,2,udacity
0.13935485884904814,0.7379689497716896,0.0,genroads,dave2_gru,1.2330402340249884,2.4293299999999993,dynamic_object_overlay,4,udacity
