angle_abs_mean_mean,angle_abs_mean_pre_mean,angle_abs_p95_mean,angle_abs_p95_pre_mean,cte_abs_mean_mean,cte_abs_mean_pre_mean,cte_abs_p95_mean,cte_abs_p95_pre_mean,map,model,n_entries,pass_rate,perturbation,pid_dev_mean_mean,pid_dev_mean_pre_mean,pid_dev_p95_mean,pid_dev_p95_pre_mean,pid_mae_steer_mean,pid_mae_steer_pre_mean,pid_mae_throttle_mean,pid_mae_throttle_pre_mean,primary_metric,severity,sim,test_type,xte_abs_mean_mean,xte_abs_mean_pre_mean,xte_abs_p95_mean,xte_abs_p95_pre_mean
49.583399514563105,49.583399514563105,105.07725,105.07725,0.7408927184466019,0.7408927184466019,3.3131,3.3131,genroads,dave2_gru,1,0.0,baseline,0.12842827796811032,0.12842827796811032,0.873684869108409,0.873684869108409,0.1263101416802739,0.1263101416802739,0.007463177611816277,0.007463177611816277,pass_rate,0,udacity,robustness,0.7408927184466019,0.7408927184466019,3.3131,3.3131
46.70062928571429,46.70062928571429,106.1899449999998,106.1899449999998,0.5487421428571428,0.5487421428571428,1.4478999999999997,1.4478999999999997,genroads,dave2_gru,1,0.0,canny_edges_mapping,0.09053178720672143,0.09053178720672143,0.28492632734469725,0.28492632734469725,0.08362574129818573,0.08362574129818573,0.01092454945402486,0.01092454945402486,pass_rate,2,udacity,robustness,0.5487421428571428,0.5487421428571428,1.4478999999999997,1.4478999999999997
44.19225802752294,44.19225802752294,93.4638,93.4638,0.22295183486238526,0.22295183486238526,0.543725,0.543725,genroads,dave2_gru,1,1.0,canny_edges_mapping,0.025775006987937533,0.025775006987937533,0.0693116425561334,0.0693116425561334,0.023131127968011853,0.023131127968011853,0.005358429147152725,0.005358429147152725,pass_rate,4,udacity,robustness,0.22295183486238526,0.22295183486238526,0.543725,0.543725
53.57955213270142,53.57955213270142,106.0566,106.0566,0.9471289099526067,0.9471289099526067,2.9945500000000003,2.9945500000000003,genroads,dave2_gru,1,0.0,contrast,0.17611890314895637,0.17611890314895637,0.8740744811043213,0.8740744811043213,0.17393663135396925,0.17393663135396925,0.008251355157644262,0.008251355157644262,pass_rate,2,udacity,robustness,0.9471289099526067,0.9471289099526067,2.9945500000000003,2.9945500000000003
45.45303096774193,45.45303096774193,108.59540999999994,108.59540999999994,0.6782522580645161,0.6782522580645161,2.4953399999999997,2.4953399999999997,genroads,dave2_gru,1,0.0,contrast,0.12601300522718736,0.12601300522718736,0.42027333144787016,0.42027333144787016,0.12193453644642667,0.12193453644642667,0.011405800955910837,0.011405800955910837,pass_rate,4,udacity,robustness,0.6782522580645161,0.6782522580645161,2.4953399999999997,2.4953399999999997
17.743227522935783,17.743227522935783,110.44075999999998,110.44075999999998,0.32493486238532115,0.32493486238532115,2.230319999999999,2.230319999999999,genroads,dave2_gru,1,0.0,cutout_filter,0.9305011606692202,0.9305011606692202,1.4094054594240433,1.4094054594240433,0.9296298583503813,0.9296298583503813,0.014596401756509728,0.014596401756509728,pass_rate,2,udacity,robustness,0.32493486238532115,0.32493486238532115,2.230319999999999,2.230319999999999
53.59033941908713,53.59033941908713,107.8911,107.8911,0.758260580912863,0.758260580912863,2.6374,2.6374,genroads,dave2_gru,1,0.0,cutout_filter,0.15147621715425844,0.15147621715425844,0.7503347732181446,0.7503347732181446,0.14892509959265746,0.14892509959265746,0.008860630814094267,0.008860630814094267,pass_rate,4,udacity,robustness,0.758260580912863,0.758260580912863,2.6374,2.6374
54.588408333333334,54.588408333333334,105.70741999999998,105.70741999999998,1.0183200000000001,1.0183200000000001,3.587015,3.587015,genroads,dave2_gru,1,0.0,defocus_blur,0.20200130730311636,0.20200130730311636,0.9278606354097529,0.9278606354097529,0.19993518117892867,0.19993518117892867,0.008471927233040332,0.008471927233040332,pass_rate,2,udacity,robustness,1.0183200000000001,1.0183200000000001,3.587015,3.587015
42.34423975903615,42.34423975903615,103.01445,103.01445,0.5380927710843374,0.5380927710843374,1.84915,1.84915,genroads,dave2_gru,1,0.0,defocus_blur,0.1022160592378932,0.1022160592378932,0.715152569559334,0.715152569559334,0.10067599121458738,0.10067599121458738,0.0053359694240323035,0.0053359694240323035,pass_rate,4,udacity,robustness,0.5380927710843374,0.5380927710843374,1.84915,1.84915
48.93584761904762,48.93584761904762,112.47934,112.47934,0.6985619047619047,0.6985619047619047,2.42731,2.42731,genroads,dave2_gru,1,0.0,dotted_lines_mapping,0.13919974933857676,0.13919974933857676,1.0305705134501917,1.0305705134501917,0.13344194993636488,0.13344194993636488,0.011285303350614041,0.011285303350614041,pass_rate,2,udacity,robustness,0.6985619047619047,0.6985619047619047,2.42731,2.42731
48.51493669064748,48.51493669064748,114.64578,114.64578,0.7363323741007194,0.7363323741007194,2.5696199999999996,2.5696199999999996,genroads,dave2_gru,1,0.0,dotted_lines_mapping,0.139599289971252,0.139599289971252,0.7436920120246173,0.7436920120246173,0.13372750799489885,0.13372750799489885,0.011529900026407173,0.011529900026407173,pass_rate,4,udacity,robustness,0.7363323741007194,0.7363323741007194,2.5696199999999996,2.5696199999999996
18.342008653846154,18.342008653846154,105.39724999999993,105.39724999999993,0.3449153846153846,0.3449153846153846,2.2032649999999983,2.2032649999999983,genroads,dave2_gru,1,0.0,dynamic_lightning_filter,0.9064986497054124,0.9064986497054124,1.4534689005545545,1.4534689005545545,0.9055993553125657,0.9055993553125657,0.014447049094507327,0.014447049094507327,pass_rate,2,udacity,robustness,0.3449153846153846,0.3449153846153846,2.2032649999999983,2.2032649999999983
