E_dt,E_e,PR,map,model,p95_dt,p95_e,sim
0.16719644517377477,0.3419637503232721,0.125,genroads,dave2_gru,0.7216964449136799,1.607216874999999,udacity
0.26707229095104196,0.3087523021900639,0.125,genroads,dave2_gru,1.1223523981664814,1.5520706249999998,udacity
0.1459920314901775,0.20570186591036763,0.375,genroads,dave2_gru,0.8137320125932264,1.2092043749999997,udacity
0.12104687125032511,0.1623468954291515,0.5,genroads,dave2_gru,0.5798587147831031,0.8443331249999999,udacity
0.1391887739870854,0.18883029142102586,0.375,genroads,dave2_gru,0.7055226518844218,0.9566887499999996,udacity
0.14260584707744645,0.25037523832026654,0.25,genroads,dave2_gru,0.715421817107905,1.609356874999999,udacity
0.41532930620815456,0.8077382316862372,0.375,genroads,dave2_gru,1.0325871229139607,2.2924749999999996,udacity
0.25107713946545934,0.5575111942532232,0.125,genroads,dave2_gru,0.9470541434888843,2.607267499999999,udacity
0.202989827187046,0.3398662703753125,0.125,genroads,dave2_gru,0.9696017326612884,2.0637962499999998,udacity
0.15381279352879434,0.31111552559712696,0.25,genroads,dave2_gru,0.6616685460258752,1.7521812499999991,udacity
0.16183332537500736,0.3013957115048984,0.125,genroads,dave2_gru,0.72528006063785,1.6187174999999994,udacity
0.14796868062978946,0.3052496677979753,0.0,genroads,dave2_gru,0.7452021654462923,1.9410256249999989,udacity
0.12694201263367222,0.2008309455573973,0.375,genroads,dave2_gru,0.6039637856667244,1.00944125,udacity
0.12615350373056747,0.22679304703986802,0.375,genroads,dave2_gru,0.616685324197664,1.266988749999999,udacity
0.11870067122876998,0.19794142033831974,0.375,genroads,dave2_gru,0.5664175056961653,0.9913849999999995,udacity
0.1435085532441861,0.30245865913608105,0.25,genroads,dave2_gru,0.7597275035785601,1.904476874999998,udacity
0.12768604738783984,0.2100867795871676,0.375,genroads,dave2_gru,0.5720705133307207,0.9182293749999997,udacity
0.1275393579132559,0.21915308654553173,0.25,genroads,dave2_gru,0.6319365434982562,1.043209375,udacity
0.11269440773639494,0.16262008829336552,0.625,genroads,dave2_gru,0.47910685427137445,0.8780562499999993,udacity
0.1345554020260752,0.24572009237943948,0.25,genroads,dave2_gru,0.6053201584236816,1.2131356249999996,udacity
0.12401492914436194,0.235167652392689,0.25,genroads,dave2_gru,0.5884417183819158,1.2205406249999982,udacity
0.1341639956104971,0.22609547578126848,0.25,genroads,dave2_gru,0.6734335112224856,1.1968368749999985,udacity
0.11693791794129435,0.14823055867547724,0.5,genroads,dave2_gru,0.5258713163991968,0.7484193749999997,udacity
0.14618749129206476,0.2529574213962581,0.125,genroads,dave2_gru,0.7034983657505577,1.2582549999999992,udacity
0.3157895421025779,0.6337628344210877,0.25,genroads,dave2_gru,0.8427159199015601,1.96274625,udacity
0.19763950926715684,0.4269906124124812,0.25,genroads,dave2_gru,0.6967690644327458,1.7035343749999996,udacity
0.16564910484849854,0.2820640383725559,0.25,genroads,dave2_gru,0.6295090396928888,1.320135625,udacity
0.16148999551663226,0.31214576649217673,0.25,genroads,dave2_gru,0.7256070164779125,1.7566843749999985,udacity
0.13160875371103672,0.23781419801452305,0.375,genroads,dave2_gru,0.6448830281995944,1.1527399999999994,udacity
0.14303215746634776,0.2582064620459108,0.25,genroads,dave2_gru,0.7179453502608888,1.5124881249999993,udacity
0.39460004083188205,0.7940820985454669,0.25,genroads,dave2_gru,0.9513986845957252,2.224147499999999,udacity
0.18088313561564826,0.365778902106368,0.375,genroads,dave2_gru,0.7185733638958822,1.8281681249999995,udacity
0.17605813709037046,0.34166374046531867,0.25,genroads,dave2_gru,0.8593457891796157,2.024231874999999,udacity
0.1391938136507943,0.2585909818438913,0.375,genroads,dave2_gru,0.6308717988952915,1.3766106249999992,udacity
0.14277461673743713,0.22932091478551198,0.375,genroads,dave2_gru,0.7593162384917538,1.3677124999999992,udacity
0.132132429549082,0.23916847491088086,0.0,genroads,dave2_gru,0.7441952658158443,1.3133018749999987,udacity
0.6339509264846236,1.1295616710308298,0.125,genroads,dave2_gru,1.21596800323805,3.106029375,udacity
0.2559054454998957,0.6590648320859797,0.125,genroads,dave2_gru,0.9346394147763333,2.7973725,udacity
0.17371382853161904,0.30147604091798147,0.125,genroads,dave2_gru,0.9663551419950763,2.2362318749999988,udacity
0.15077751456418753,0.28518556986984367,0.375,genroads,dave2_gru,0.7934886827098854,1.620613125,udacity
0.16408229663763013,0.2912066837830966,0.125,genroads,dave2_gru,0.920324508163898,2.035811249999999,udacity
0.15015083428516568,0.24610057567548332,0.375,genroads,dave2_gru,0.6594184792727369,1.4247593749999998,udacity
0.16444300868294676,0.32229808035502616,0.125,genroads,dave2_gru,0.6602639980161222,1.6866199999999996,udacity
0.17659081827999143,0.37120454402492087,0.125,genroads,dave2_gru,0.8766273258041403,2.2688412499999986,udacity
