angle_abs_mean,angle_abs_mean_pre,angle_abs_p95,angle_abs_p95_pre,entry_id,entry_index,episode_folder,fail_stop_idx,is_success,map,model,num_segments,perturbation,pid_dev_mean,pid_dev_mean_pre,pid_dev_p95,pid_dev_p95_pre,pid_mae_steer,pid_mae_steer_pre,pid_mae_throttle,pid_mae_throttle_pre,pid_n,pid_n_pre,road,run_id,run_ts,severity,sim,task_id,test_type,timeout,track_error_name,xte_abs_mean,xte_abs_mean_pre,xte_abs_p95,xte_abs_p95_pre
21.352024085606057,21.352024085606057,48.434932499999995,48.434932499999995,0001_00,0,0001,264,1,jungle,vit,13,baseline,0.8036485389490157,0.8036485389490157,1.0507653759292996,1.0507653759292996,0.2319520684178556,0.2319520684178556,0.7521465467312304,0.7521465467312304,264.0,264.0,jungle_reverse,vit_20251219_030941,2025-12-19T03:09:41,0,udacity,segment_01_easy_start,generalization,0,xte,0.902048217615909,0.902048217615909,2.8415595,2.8415595
27.592819197802203,27.592819197802203,50.94374,50.94374,0001_01,1,0001,91,1,jungle,vit,13,baseline,0.7811150098737691,0.7811150098737691,1.0414903610916333,1.0414903610916333,0.2957278441818214,0.2957278441818214,0.681393485740098,0.681393485740098,91.0,91.0,jungle_reverse,vit_20251219_030941,2025-12-19T03:09:41,0,udacity,segment_02_steep_downhill_sharp_curves,generalization,0,xte,1.0136902567516484,1.0136902567516484,3.219366,3.219366
24.391108790233073,30.1698497760181,46.7892,49.098006000000005,0001_02,2,0001,442,0,jungle,vit,13,baseline,0.7978153740012819,0.704108106469074,1.1492423270826473,1.159927424873717,0.2188052285134975,0.2824075510383666,0.7327829139010118,0.5964206314399383,901.0,442.0,jungle_reverse,vit_20251219_030941,2025-12-19T03:09:41,0,udacity,segment_03_very_steep_uphill,generalization,0,xte,0.7943230648832041,0.9173516223179796,3.104392,2.72576175
24.607261285714284,21.071030966789667,64.67925,51.06725,0001_03,3,0001,271,0,jungle,vit,13,baseline,0.8165685008548945,0.7867478363100944,1.0334326935525568,1.0216424104370574,0.22317473091841208,0.20342763920599663,0.7646237649985032,0.740397441769332,378.0,271.0,jungle_reverse,vit_20251219_030941,2025-12-19T03:09:41,0,udacity,segment_04_gain_speed_uphill,generalization,0,xte,0.6490489622904763,0.5764985153822878,1.7908739999999996,1.7772125
25.11278116498994,21.358348094202896,55.30619399999999,61.93325,0001_04,4,0001,138,0,jungle,vit,13,baseline,0.9816342003786971,0.9680862422315889,1.1058083438355544,1.1186757487444492,0.18388038888459385,0.20470156615763307,0.9532107489541458,0.934729860230025,497.0,138.0,jungle_reverse,vit_20251219_030941,2025-12-19T03:09:41,0,udacity,segment_05_left_right_curve,generalization,0,xte,0.39756113215778666,0.3818613458405797,1.9478587999999997,1.8248532000000006
19.60488684873949,19.60488684873949,27.894364999999997,27.894364999999997,0001_05,5,0001,119,1,jungle,vit,13,baseline,0.6264554058957884,0.6264554058957884,1.0006415032851563,1.0006415032851563,0.2440182935369622,0.2440182935369622,0.5369066421638354,0.5369066421638354,119.0,119.0,jungle_reverse,vit_20251219_030941,2025-12-19T03:09:41,0,udacity,segment_05_uphill_with_enough_speed,generalization,0,xte,0.5469691000504203,0.5469691000504203,1.452621,1.452621
21.529218125139664,20.208474064705882,44.954164999999996,48.28215749999999,0001_06,6,0001,170,0,jungle,vit,13,baseline,0.8770672957826576,0.7455393142822275,1.133101541823549,1.086924918178509,0.2852773836567498,0.1989988226396105,0.8105875998505419,0.6948262097536877,358.0,170.0,jungle_reverse,vit_20251219_030941,2025-12-19T03:09:41,0,udacity,segment_06_long_downhill_and_straight,generalization,0,xte,1.0091903576347208,0.9095926044217648,2.453218299999999,2.64190435
14.184094592674805,14.184094592674805,23.86721,23.86721,0001_07,7,0001,901,1,jungle,vit,13,baseline,0.7119045548292668,0.7119045548292668,1.0174939387409474,1.0174939387409474,0.16812552430947303,0.16812552430947303,0.6737371625901177,0.6737371625901177,901.0,901.0,jungle_reverse,vit_20251219_030941,2025-12-19T03:09:41,0,udacity,segment_07_bridge,generalization,0,xte,0.9612863330512762,0.9612863330512762,2.309214,2.309214
18.060361949308756,17.437542821167884,34.304985,34.94620549999994,0001_08,8,0001,274,0,jungle,vit,13,baseline,0.8213523429402125,0.7932385016031875,0.9920224974451703,0.9676466329349228,0.2018902002576857,0.21422763950681123,0.7862788468444171,0.7526979009899225,651.0,274.0,jungle_reverse,vit_20251219_030941,2025-12-19T03:09:41,0,udacity,segment_08_uphill_curves,generalization,0,xte,0.553652784094516,0.47172984972299264,1.225537,1.1333976
9.281923,9.281923,12.8001733,12.8001733,0001_09,9,0001,2,1,jungle,vit,13,baseline,0.4881073929762514,0.4881073929762514,0.7350537319694627,0.7350537319694627,0.37019531449572085,0.37019531449572085,0.29206673911376,0.29206673911376,2.0,2.0,jungle_reverse,vit_20251219_030941,2025-12-19T03:09:41,0,udacity,segment_09_very_steep_downhill_with_curves,generalization,0,xte,0.002346833,0.002346833,0.002346833,0.002346833
26.795342601748544,16.544407763578274,59.92617,26.61339,0001_10,10,0001,313,0,jungle,vit,13,baseline,0.8283702147777687,0.7074914595991824,1.0647086520105637,0.9548405247276025,0.22849364121726878,0.15804925517613994,0.7720184902885073,0.6742719610568453,1201.0,313.0,jungle_reverse,vit_20251219_030941,2025-12-19T03:09:41,0,udacity,segment_10_uphill,generalization,0,xte,0.8532924606666328,0.7123351437571884,2.435275,1.8317716
