E_dt,E_e,PR,map,model,p95_dt,p95_e,perturbation,severity,sim
0.015815885549039878,0.1492188679245283,1.0,genroads,vit,0.046971059930325715,0.41703999999999997,Baseline,0,udacity
0.027945700075249314,0.1422733203505355,1.0,genroads,vit,0.07385928445251876,0.34088,canny_edges_mapping,2,udacity
0.025616508080028848,0.1451046920821114,1.0,genroads,vit,0.07222294881759883,0.35037999999999997,canny_edges_mapping,4,udacity
0.01801366113248,0.17182309217046582,1.0,genroads,vit,0.048301328098161206,0.4225599999999997,contrast,2,udacity
0.02252542659187735,0.1842956783919598,1.0,genroads,vit,0.05390055521724137,0.44276,contrast,4,udacity
0.06374332745719635,0.35368797709923666,1.0,genroads,vit,0.2227105983629313,1.38583,cutout_filter,2,udacity
0.19254109238465203,0.7056093298291721,0.0,genroads,vit,0.7753255291621132,2.5805,cutout_filter,4,udacity
0.01637728334548586,0.15232841796875002,1.0,genroads,vit,0.04468388140906933,0.35086999999999996,defocus_blur,2,udacity
0.040574706536340724,0.21086021297192642,1.0,genroads,vit,0.09055495211593952,0.60598,defocus_blur,4,udacity
0.01716923356723779,0.16576964980544748,1.0,genroads,vit,0.044768728822294816,0.42175999999999997,dotted_lines_mapping,2,udacity
0.031353997816723496,0.16747246376811595,1.0,genroads,vit,0.08221943352177463,0.43371999999999983,dotted_lines_mapping,4,udacity
0.028403775897852254,0.21009368318756072,1.0,genroads,vit,0.08202707108622598,0.5635399999999999,dynamic_lightning_filter,2,udacity
0.09511970662486677,0.49208911764705876,1.0,genroads,vit,0.5276379315762115,2.2917149999999973,dynamic_lightning_filter,4,udacity
0.01609874391957089,0.166407421875,1.0,genroads,vit,0.04258895582439845,0.4149,dynamic_object_overlay,2,udacity
0.017128092795521802,0.16601442495126706,1.0,genroads,vit,0.04659841412139507,0.40255,dynamic_object_overlay,4,udacity
0.02808129769870796,0.1893939980638916,1.0,genroads,vit,0.07566921317453237,0.44683999999999996,dynamic_rain_filter,2,udacity
0.0591251045782691,0.28934057416267944,1.0,genroads,vit,0.15534138313968346,0.8028599999999998,dynamic_rain_filter,4,udacity
0.08504683738643389,0.43499499036608863,1.0,genroads,vit,0.3118609295913366,1.46637,dynamic_smoke_filter,2,udacity
0.44374306794391405,0.9418817142857141,0.0,genroads,vit,1.0842975306212632,3.636719999999999,dynamic_smoke_filter,4,udacity
0.0391545466427615,0.2551934362934363,1.0,genroads,vit,0.09293487208087624,0.5807,dynamic_snow_filter,2,udacity
0.1802328804713806,0.6974163013698631,0.0,genroads,vit,0.6492457892695246,1.4966349999999997,dynamic_snow_filter,4,udacity
0.03136939806716421,0.23768309037900873,1.0,genroads,vit,0.0767222401150531,0.5657199999999999,dynamic_sun_filter,2,udacity
0.03804865024752356,0.2698381782945736,1.0,genroads,vit,0.09554244407127711,0.6681499999999999,dynamic_sun_filter,4,udacity
0.01648671236284126,0.15615131964809384,1.0,genroads,vit,0.044553774593712875,0.38994,elastic,2,udacity
0.017787850462951747,0.15790039177277182,1.0,genroads,vit,0.04586807344980368,0.3967,elastic,4,udacity
0.022491902410400572,0.16359589694656487,1.0,genroads,vit,0.060810849070610185,0.47214999999999996,fog_filter,2,udacity
0.2880209499992475,0.7338097826086958,0.0,genroads,vit,0.9469061188589454,2.8482000000000003,fog_filter,4,udacity
0.017920252766477206,0.12690365384615385,1.0,genroads,vit,0.049735965512585446,0.3731249999999999,frost_filter,2,udacity
