angle_abs_mean,angle_abs_mean_pre,angle_abs_p95,angle_abs_p95_pre,cte_abs_mean,cte_abs_mean_pre,cte_abs_p95,cte_abs_p95_pre,entry_id,entry_index,episode_folder,fail_stop_idx,is_success,map,model,num_segments,perturbation,pid_dev_mean,pid_dev_mean_pre,pid_dev_p95,pid_dev_p95_pre,pid_mae_steer,pid_mae_steer_pre,pid_mae_throttle,pid_mae_throttle_pre,pid_n,pid_n_pre,road,run_id,run_ts,severity,sim,task_id,test_type,timeout,track_error_name,xte_abs_mean,xte_abs_mean_pre,xte_abs_p95,xte_abs_p95_pre
35.31517637947725,35.31517637947725,80.59812000000001,80.59812000000001,0.1893939980638916,0.1893939980638916,0.44683999999999996,0.44683999999999996,0001_00,0,0001,1033,1,genroads,vit,0,dynamic_rain_filter,0.02808129769870796,0.02808129769870796,0.07566921317453237,0.07566921317453237,0.027449586551146453,0.027449586551146453,0.002093103284238038,0.002093103284238038,1033.0,1033.0,random_001,vit_20251208_181344,2025-12-08T18:13:44,2,udacity,random_001,robustness,0,cte,0.1893939980638916,0.1893939980638916,0.44683999999999996,0.44683999999999996
41.94281205741626,41.94281205741626,87.95921999999997,87.95921999999997,0.28934057416267944,0.28934057416267944,0.8028599999999998,0.8028599999999998,0002_00,0,0002,1045,1,genroads,vit,0,dynamic_rain_filter,0.0591251045782691,0.0591251045782691,0.15534138313968346,0.15534138313968346,0.05851887199372102,0.05851887199372102,0.0027860185175991514,0.0027860185175991514,1045.0,1045.0,random_001,vit_20251208_181344,2025-12-08T18:13:44,4,udacity,random_001,robustness,0,cte,0.28934057416267944,0.28934057416267944,0.8028599999999998,0.8028599999999998
43.03759111969112,43.03759111969112,89.0537,89.0537,0.2551934362934363,0.2551934362934363,0.5807,0.5807,0003_00,0,0003,1036,1,genroads,vit,0,dynamic_snow_filter,0.0391545466427615,0.0391545466427615,0.09293487208087624,0.09293487208087624,0.038603865873177795,0.038603865873177795,0.002017743720108478,0.002017743720108478,1036.0,1036.0,random_001,vit_20251208_181344,2025-12-08T18:13:44,2,udacity,random_001,robustness,0,cte,0.2551934362934363,0.2551934362934363,0.5807,0.5807
59.259854383561645,59.259854383561645,97.812045,97.812045,0.6974163013698631,0.6974163013698631,1.4966349999999997,1.4966349999999997,0004_00,0,0004,730,0,genroads,vit,0,dynamic_snow_filter,0.1802328804713806,0.1802328804713806,0.6492457892695246,0.6492457892695246,0.1794662631535225,0.1794662631535225,0.00446334255680646,0.00446334255680646,730.0,730.0,random_001,vit_20251208_181344,2025-12-08T18:13:44,4,udacity,random_001,robustness,0,cte,0.6974163013698631,0.6974163013698631,1.4966349999999997,1.4966349999999997
27.000083846153846,27.000083846153846,76.77764499999999,76.77764499999999,0.12690365384615385,0.12690365384615385,0.3731249999999999,0.3731249999999999,0005_00,0,0005,1040,1,genroads,vit,0,frost_filter,0.017920252766477206,0.017920252766477206,0.049735965512585446,0.049735965512585446,0.01728698311534782,0.01728698311534782,0.0019612931932967443,0.0019612931932967443,1040.0,1040.0,random_001,vit_20251208_181344,2025-12-08T18:13:44,2,udacity,random_001,robustness,0,cte,0.12690365384615385,0.12690365384615385,0.3731249999999999,0.3731249999999999
31.3768922630561,31.3768922630561,86.181035,86.181035,0.2276625725338491,0.2276625725338491,1.0420749999999996,1.0420749999999996,0006_00,0,0006,1034,1,genroads,vit,0,frost_filter,0.03925354791334299,0.03925354791334299,0.17103148457053108,0.17103148457053108,0.03861740430264429,0.03861740430264429,0.0023889089547227383,0.0023889089547227383,1034.0,1034.0,random_001,vit_20251208_181344,2025-12-08T18:13:44,4,udacity,random_001,robustness,0,cte,0.2276625725338491,0.2276625725338491,1.0420749999999996,1.0420749999999996
30.20085009541985,30.20085009541985,84.75028,84.75028,0.16359589694656487,0.16359589694656487,0.47214999999999996,0.47214999999999996,0007_00,0,0007,1048,1,genroads,vit,0,fog_filter,0.022491902410400572,0.022491902410400572,0.060810849070610185,0.060810849070610185,0.021763646177619576,0.021763646177619576,0.0023503191200376465,0.0023503191200376465,1048.0,1048.0,random_001,vit_20251208_181344,2025-12-08T18:13:44,2,udacity,random_001,robustness,0,cte,0.16359589694656487,0.16359589694656487,0.47214999999999996,0.47214999999999996
52.46498188405797,52.46498188405797,108.381325,108.381325,0.7338097826086958,0.7338097826086958,2.8482000000000003,2.8482000000000003,0008_00,0,0008,276,0,genroads,vit,0,fog_filter,0.2880209499992475,0.2880209499992475,0.9469061188589454,0.9469061188589454,0.2868186153937131,0.2868186153937131,0.005951344507975855,0.005951344507975855,276.0,276.0,random_001,vit_20251208_181344,2025-12-08T18:13:44,4,udacity,random_001,robustness,0,cte,0.7338097826086958,0.7338097826086958,2.8482000000000003,2.8482000000000003
40.06498571428571,40.06498571428571,86.83031999999999,86.83031999999999,0.23768309037900873,0.23768309037900873,0.5657199999999999,0.5657199999999999,0009_00,0,0009,1029,1,genroads,vit,0,dynamic_sun_filter,0.03136939806716421,0.03136939806716421,0.0767222401150531,0.0767222401150531,0.030720282040886667,0.030720282040886667,0.0026600523928743294,0.0026600523928743294,1029.0,1029.0,random_001,vit_20251208_181344,2025-12-08T18:13:44,2,udacity,random_001,robustness,0,cte,0.23768309037900873,0.23768309037900873,0.5657199999999999,0.5657199999999999
43.57611879844961,43.57611879844961,87.87813999999996,87.87813999999996,0.2698381782945736,0.2698381782945736,0.6681499999999999,0.6681499999999999,0010_00,0,0010,1032,1,genroads,vit,0,dynamic_sun_filter,0.03804865024752356,0.03804865024752356,0.09554244407127711,0.09554244407127711,0.03737891836829286,0.03737891836829286,0.0027301272651714874,0.0027301272651714874,1032.0,1032.0,random_001,vit_20251208_181344,2025-12-08T18:13:44,4,udacity,random_001,robustness,0,cte,0.2698381782945736,0.2698381782945736,0.6681499999999999,0.6681499999999999
